graph,component,component,distance
yarn-hdfs-cluster-4.yml,cs:trusty/hadoop/yarn-hdfs-node,cs:trusty/hadoop/yarn-hdfs-node,0
yarn-hdfs-cluster-4.yml,cs:trusty/hadoop/yarn-hdfs-node,cs:trusty/hadoop/compute-nodes,1
yarn-hdfs-cluster-4.yml,cs:trusty/hadoop/compute-nodes,cs:trusty/hadoop/compute-nodes,0
yarn-hdfs-cluster-4.yml,cs:trusty/hadoop/compute-nodes,cs:trusty/hadoop/yarn-hdfs-node,1
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-enb,cs:~navid-nikaein/xenial/oai-enb,0
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-enb,cs:~navid-nikaein/xenial/oai-mme,1
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-enb,cs:~navid-nikaein/xenial/oai-rru,1
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-enb,cs:~navid-nikaein/xenial/flexran-rtc,1
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-enb,cs:~navid-nikaein/xenial/oai-hss,2
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-enb,cs:~navid-nikaein/xenial/oai-spgw,2
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-enb,cs:xenial/mysql,3
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-mme,cs:~navid-nikaein/xenial/oai-mme,0
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-mme,cs:~navid-nikaein/xenial/oai-enb,1
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-mme,cs:~navid-nikaein/xenial/oai-hss,1
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-mme,cs:~navid-nikaein/xenial/oai-spgw,1
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-mme,cs:~navid-nikaein/xenial/oai-rru,2
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-mme,cs:~navid-nikaein/xenial/flexran-rtc,2
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-mme,cs:xenial/mysql,2
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/flexran-rtc,cs:~navid-nikaein/xenial/flexran-rtc,0
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/flexran-rtc,cs:~navid-nikaein/xenial/oai-enb,1
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/flexran-rtc,cs:~navid-nikaein/xenial/oai-mme,2
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/flexran-rtc,cs:~navid-nikaein/xenial/oai-rru,2
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/flexran-rtc,cs:~navid-nikaein/xenial/oai-hss,3
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/flexran-rtc,cs:~navid-nikaein/xenial/oai-spgw,3
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/flexran-rtc,cs:xenial/mysql,4
oai-5g-cran-slice-1.yml,cs:xenial/mysql,cs:xenial/mysql,0
oai-5g-cran-slice-1.yml,cs:xenial/mysql,cs:~navid-nikaein/xenial/oai-hss,1
oai-5g-cran-slice-1.yml,cs:xenial/mysql,cs:~navid-nikaein/xenial/oai-mme,2
oai-5g-cran-slice-1.yml,cs:xenial/mysql,cs:~navid-nikaein/xenial/oai-enb,3
oai-5g-cran-slice-1.yml,cs:xenial/mysql,cs:~navid-nikaein/xenial/oai-spgw,3
oai-5g-cran-slice-1.yml,cs:xenial/mysql,cs:~navid-nikaein/xenial/oai-rru,4
oai-5g-cran-slice-1.yml,cs:xenial/mysql,cs:~navid-nikaein/xenial/flexran-rtc,4
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-hss,cs:~navid-nikaein/xenial/oai-hss,0
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-hss,cs:xenial/mysql,1
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-hss,cs:~navid-nikaein/xenial/oai-mme,1
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-hss,cs:~navid-nikaein/xenial/oai-enb,2
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-hss,cs:~navid-nikaein/xenial/oai-spgw,2
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-hss,cs:~navid-nikaein/xenial/oai-rru,3
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-hss,cs:~navid-nikaein/xenial/flexran-rtc,3
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-rru,cs:~navid-nikaein/xenial/oai-rru,0
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-rru,cs:~navid-nikaein/xenial/oai-enb,1
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-rru,cs:~navid-nikaein/xenial/oai-mme,2
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-rru,cs:~navid-nikaein/xenial/flexran-rtc,2
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-rru,cs:~navid-nikaein/xenial/oai-hss,3
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-rru,cs:~navid-nikaein/xenial/oai-spgw,3
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-rru,cs:xenial/mysql,4
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-spgw,cs:~navid-nikaein/xenial/oai-spgw,0
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-spgw,cs:~navid-nikaein/xenial/oai-mme,1
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-spgw,cs:~navid-nikaein/xenial/oai-enb,2
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-spgw,cs:~navid-nikaein/xenial/oai-hss,2
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-spgw,cs:~navid-nikaein/xenial/oai-rru,3
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-spgw,cs:~navid-nikaein/xenial/flexran-rtc,3
oai-5g-cran-slice-1.yml,cs:~navid-nikaein/xenial/oai-spgw,cs:xenial/mysql,3
wiki-simple-4.yml,cs:trusty/mediawiki,cs:trusty/mediawiki,0
wiki-simple-4.yml,cs:trusty/mediawiki,cs:trusty/mysql,1
wiki-simple-4.yml,cs:trusty/mysql,cs:trusty/mysql,0
wiki-simple-4.yml,cs:trusty/mysql,cs:trusty/mediawiki,1
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:trusty/python-django,0
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:trusty/nrpe,1
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:trusty/ganglia-node,1
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:trusty/landscape-client,1
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:trusty/logstash-agent,1
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:trusty/memcached,1
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:trusty/haproxy,1
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:trusty/postgresql,1
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:trusty/ganglia,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:trusty/kibana,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:trusty/elasticsearch,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:precise/logstash-indexer,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:precise/mongodb,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:trusty/rabbitmq-server,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:trusty/mysql,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:trusty/terracotta,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:precise/redis-master,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:trusty/zend-server,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:trusty/tomcat,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:precise/node-app,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:precise/rails,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:precise/openvpn-as,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:trusty/nagios,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:trusty/hdp-hive,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:trusty/hdp-hadoop,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:~vpalos/trusty/kafka,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:trusty/hdp-storm,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/python-django,cs:trusty/hdp-zookeeper,2
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb/shard1,cs:precise/mongodb/shard1,0
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb/shard1,cs:precise/mongodb/mongos,1
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb/shard1,cs:precise/mongodb/shard2,2
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb/shard1,cs:precise/mongodb/configsvr,2
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb/shard1,cs:precise/mongodb/shard3,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-storm/storm-worker,cs:trusty/hdp-storm/storm-worker,0
